Tdiv	N1	N2	Nadm	s	Fonset	Tonset	admrate	Tadm	SELCOEFF	PP1N1	PP2N2	TONSET1	TSPLIT1	TSPLIT2	TONSET2	TSAMPLE	ALPHA1	ALPHA2
2000	1000	1000	1000	0.05	0.5	152	0.05	10	0.5	100	100	4187	4200	4201	4202	4202	0.05	0.95
500	10000	1000	1000	0.05	0.5	198	0.05	10	0.5	1000	100	4032	4050	4051	4052	4052	0.05	0.95
1000	10000	1000	1000	0.05	0.5	198	0.05	10	0.5	1000	100	4082	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	1000	0.05	0.5	198	0.05	10	0.5	1000	100	4132	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	1000	0.05	0.5	198	0.05	10	0.5	1000	100	4182	4200	4201	4202	4202	0.05	0.95
500	1000	10000	1000	0.05	0.5	152	0.05	10	0.5	100	1000	4037	4050	4051	4052	4052	0.05	0.95
1000	1000	10000	1000	0.05	0.5	152	0.05	10	0.5	100	1000	4087	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	1000	0.05	0.5	152	0.05	10	0.5	100	1000	4137	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	1000	0.05	0.5	152	0.05	10	0.5	100	1000	4187	4200	4201	4202	4202	0.05	0.95
500	10000	10000	1000	0.05	0.5	198	0.05	10	0.5	1000	1000	4032	4050	4051	4052	4052	0.05	0.95
1000	10000	10000	1000	0.05	0.5	198	0.05	10	0.5	1000	1000	4082	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	1000	0.05	0.5	198	0.05	10	0.5	1000	1000	4132	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	1000	0.05	0.5	198	0.05	10	0.5	1000	1000	4182	4200	4201	4202	4202	0.05	0.95
500	1000	1000	10000	0.05	0.5	152	0.05	10	0.5	100	100	4037	4050	4051	4052	4052	0.05	0.95
1000	1000	1000	10000	0.05	0.5	152	0.05	10	0.5	100	100	4087	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	10000	0.05	0.5	152	0.05	10	0.5	100	100	4137	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	10000	0.05	0.5	152	0.05	10	0.5	100	100	4187	4200	4201	4202	4202	0.05	0.95
500	10000	1000	10000	0.05	0.5	198	0.05	10	0.5	1000	100	4032	4050	4051	4052	4052	0.05	0.95
1000	10000	1000	10000	0.05	0.5	198	0.05	10	0.5	1000	100	4082	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	10000	0.05	0.5	198	0.05	10	0.5	1000	100	4132	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	10000	0.05	0.5	198	0.05	10	0.5	1000	100	4182	4200	4201	4202	4202	0.05	0.95
